text_or_caption,reply_to,chat_id,date_created
"💬 Прочитайте этот пост!

**CY Law – обсуждение визовых, налоговых, финансовых, страховых и других кипрских юридических вопросов.
**__обновлено 18.03.2026

__**Мигрейшен поменял почти все ссылки на своём сайте.
Сильно поменял структуру сайта. Заменил часть документов.

Менять всё буду позже. 
Пока смотрите самостоятельно на портале мигрейшена
****https://www.gov.cy/mip-md/en/**

❗️[Про фишинговые (обманные) сообщения и звонки](https://t.me/cylaw/340892).
❗️[Про мошенников (в том числе юристов)](https://t.me/cylaw/338831).__

· Все виды ВНЖ (рабочие, визитор, семейные) выдаются.
· Счета в банках при наличии ВНЖ/ПМЖ открывают, бывают сложности.
· Счета в банках для ВНЖ продолжают открывать, но очень сложно.

__**Помощь в релокейте на Кипр: все виды ВНЖ, ПМЖ, гражданство, ИТ/Бизнес релокейт
**– **Relocate.cy****

Полезная информация 
**– [**По каким визам можно приехать на Кипр
**](https://t.me/cylaw/59144)– [**UKR.CY **](http://ukr.cy/)**основной информационный сайт** для украинцев (временная защита TP, работа, медицина и прочее)
– [**Поиск работы на Кипре

**](https://t.me/cyprusit/420)**Резидентство и гражданство Кипра
**– [**ВНЖ** рабочие, визиторские, Digital Nomad и прочие виды разрешений](https://t.me/cylaw/42886) на временное проживание (пинкслипы) для граждан третьих стран
– [Как оформить рабочую визу **SPOUSE EMPLOYMENT** для супругов ""Хайскилл"" специалистов](https://t.me/cylaw/127145) 
– [ПМЖ долгосрочные разрешения на проживание (LTRP) и иммиграцию
](https://t.me/cylaw/42887)– [**Граждане ЕС** и члены их семей
](https://t.me/cylaw/42888)– [Все виды гражданства](https://www.moi.gov.cy/moi/cr/cr.nsf/home_en/home_en?openform)[
](https://t.me/cylaw/42888)– [Подача на гражданство Кипра по натурализации](https://www.gov.cy/moi/en/information-regarding-the-application-for-obtaining-cypriot-citizenship-by-naturalization/)
– [Гражданство для ""Хайскилл"" специалистов.](https://t.me/cyprusit/777)
– [Разъяснения о новых ""правилах получения гражданства по натурализации""](https://t.me/cylaw/249145)
– [МВД Кипра представило программу Blue Card Cyprus](https://t.me/cylaw/327592)[
](https://t.me/cylaw/80141)———
– [Информация про запись в мигрейшен (CRMD) на подачу на ВНЖ и ПМЖ с 20.03.23](https://www.mip.gov.cy/dmmip/md.nsf/appointments_en/appointments_en?OpenDocument)
– [Контакты и формат записи в мигрейшен с 20.03.23](https://www.police.gov.cy/police/police.nsf/All/4E65BAFA4BEDF9F0C22589670020FD63/$file/553d2b.pdf?OpenElement)
———
– [Расчет пошлины для договора аренды
](https://t.me/cylaw/50124)– [Как получить Utility bill, если вы только что заключили контракт водоканалом или электросетями](https://t.me/cylaw/73101)
– [Мед.обследование для **первой** подачи на ВНЖ
](https://t.me/cylaw/75179)———
**– **[**Официальный реестр переводчиков**](https://www.gov.cy/pio/en/sworn-translator/)** (для заверенных переводов документов)
+** [Общие требования к переводу сопроводительных документов](https://www.gov.cy/mip-md/en/documents/document-ratification/)
– [Справки о несудимости для ВНЖ, ПМЖ, Гражданства (clear criminal record certificate)](https://t.me/cylaw/71240) 
– [**Сроки выдачи и проверка статуса заявки ВНЖ/ПМЖ с помощью SMS 1199
**](https://t.me/cylaw/1412)[
](http://www.moi.gov.cy/MOI/CRMD/crmd.nsf/faq_en/faq_en?opendocument)**Про банки и счета
**– [**Какой банк выбрать для открытия счета для ВНЖ
**](https://t.me/cylaw/4847)– [Сколько денег надо ""показать"" на счету для визиторского ВНЖ
](https://t.me/cylaw/28959)– [Где на Кипре открыть счёт для компании
](https://t.me/cylaw/98736)– [Банковская гарантия для TCN (условия, размер, возврат и прочее)](https://www.mip.gov.cy/dmmip/md.nsf/bankguarantee_en/bankguarantee_en?OpenDocument)
– [Форма для возврата банковской гарантии](https://www.police.gov.cy/police/police.nsf/All/3656FBACA778907BC22586D2001EECBC/$file/RETURN%20BANK%20GUARANTEE%20VISITORS.doc?OpenElement)
[
](https://t.me/cylaw/98736)**Про визы
**– [Визовый статус Ресипта о подаче на ВНЖ
](https://t.me/cylaw/671)– [Как продлить визу для нахождения на Кипре ДО 90 дней
](https://t.me/cylaw/122852)**– **[**Про визовые нарушения**](https://t.me/cylaw/95937)
– [Получение шенген-визы на Кипре
](https://t.me/cylaw/79950)– [Таблица с информацией про визы в EU/EEA/Schengen страны. ](https://t.me/cylaw/249712)
– [Неофициальная статистика выдачи Шенген виз на Кипре](https://docs.google.com/spreadsheets/d/1-m1zR32yjBtEPmbFTHA6EdYXArNvhm1d0X81gH72R7I/edit?usp=sharing)[~~
~~](https://t.me/cylaw/42909)– [Изменение системы записи на визу США ](https://t.me/cylaw/332807)

**‼️****Сообщения о поиске/обмене/покупке/продаже любых визовых и консульских слотов - удаляются из-за мошенников, предлагающих услуги получения слотов и оформления виз.
**[~~
~~](https://t.me/cylaw/42909)**Про налоги и другие сборы
**– [**Подача декларации за 2024 год**](https://t.me/cylaw/339039) [**
**](https://t.me/cylaw/216698)– [Онлайн завявка на получение TIC|TIN (кипрский ИНН)](https://taxforall.mof.gov.cy/)[
](https://t.me/cylaw/208547)– [Налоговый калькулятор для сотрудников
](https://taxapp.cy/income-tax-calculator/)– [Налоговый калькулятор для сотрудников (с вычетами)
](https://exness-careers.com/tax-calculator/)**– **[**Налоги Кипра 2024**](https://www.pwc.com.cy/en/publications/assets/tff-eng-2024.pdf)** (от PWC на английском)
**– [Налоговые льготы на доходы от трудовой деятельности](https://www.taxathand.com/article/32160/Cyprus/2023/Amendments-to-application-of-income-tax-exemption-for-employment-income-published)[
](https://www.taxathand.com/article/26684/Cyprus/2022/Enhanced-tax-exemptions-for-employment-income-introduced-to-attract-foreign-talent-)
**❗️****Налоги эрэф много раз обсудили в чате, используйте поиск, новые обсуждения удаляются.**

**Дополнительная важная информация.
**– [Согласие на выезд несовершеннолетнего](https://t.me/cylaw/200189)
– [Как законно работать онлайн живя на Кипре
](https://t.me/cylaw/115954)– [Как получить ВУ (""права"") на Кипре
](https://cypruscar.org/articles/kak-poluchit-voditelskoe-udostoverenie-kategorii-b-na-kipre)– [Как обменять российское ВУ (""права"") на кипрское 
](https://cypruscar.org/articles/obmen-voditelskih-prav-rf-na-voditelskoe-udostoverenie-respubliki-kipr/)– [Как оформить новый загран паспорт эрэф (и другие услуги) без долгих очередей](https://t.me/cylaw/246489)
– [КЕП / КЕПО / Citizens Centers и апостили](https://t.me/cylaw/276396)
[
](https://t.me/cylaw/71738)**Статьи о релокейте на Кипр
**– [Помощь в релокейте на Кипр: все виды ВНЖ, ПМЖ, гражданство, ИТ/Бизнес релокейт.](http://relocate.cy/)
– [Стоимость жизни в разных городах Кипра (и всего мира)](https://www.numbeo.com/cost-of-living/in/Limassol).
– [Как переехать и жить на Кипре (про виды виз, выбор города и прочее)](https://vc.ru/u/36693-oleg-reshetnikov/152969-kak-pereehat-i-zhit-na-kipre).
– [Business Relocation или как открыть компанию на Кипре](https://vc.ru/u/36693-oleg-reshetnikov/251480-business-relocation-ili-kak-otkryt-kompaniyu-na-kipre).
– [Сколько стоит жизнь на Кипре с ребенком](https://journal.tinkoff.ru/cyprus-with-children/).

Список ресурсов Cyprus_iT
–  t.me/badcyprus/72203
———
Источник t.me/cylaw",,-1001350470024,2020-07-31T08:05:43+00:00
А до какого числа продлили подачу деклараций на физиков?,,-1001350470024,2020-07-31T08:53:03+00:00
Так нет ещё ничего для физиков 2019 в taxisnet,56,-1001350470024,2020-07-31T08:54:35+00:00
До октября вроде пока. Формы нет,56,-1001350470024,2020-07-31T08:55:02+00:00
до 30 октября.,56,-1001350470024,2020-07-31T08:55:08+00:00
Спс,,-1001350470024,2020-07-31T08:56:46+00:00
А ещё вопрос. Тогда если у меня есть доход в евро. Который больше 19500 допустим. Который попадает под ставку. И у меня есть доход в рф который уже к примеру обложился налогом в 30%. Я должна показать Кипру все плюс то что в рф взят налог и Кипр от меня ниче больше не возьмёт?,,-1001350470024,2020-07-31T08:59:23+00:00
То есть я возьму справку 2ндфл приложу ее в декларацию и все будет хорошо?),,-1001350470024,2020-07-31T09:00:31+00:00
"Еще один в последний раз - зависит от типа дохода и того, как он облагается на Кипре и в РФ.",,-1001350470024,2020-07-31T09:04:41+00:00
"Когда вы пишите ""есть доход"" - это очень мало для анализа",,-1001350470024,2020-07-31T09:05:19+00:00
